objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Shards of Infinity","244115","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490401","6.8245","7.49986","1.987","639","7472","thing","Shards of Infinity","2","4","30","30","30","2018","2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sleeping Gods","255984","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490500","7.72391","8.30626","3.2277","55","22032","thing","Sleeping Gods","1","4","120","120","60","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Slip Strike","285234","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490488","5.5613","6.76964","1.3333","10228","319","thing","Slip Strike","2","2","15","15","10","2020","2","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall","166384","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490349","6.66425","6.79591","1.2364","879","28461","thing","Spyfall","3","8","15","15","15","2014","4,5,6,7,8","6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Spyfall 2","193308","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490370","6.30695","6.86201","1.2381","1602","6614","thing","Spyfall 2","3","12","15","15","15","2016","5,6,7,8,9,10,11,12","6,7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Takenoko","70919","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490392","7.0959","7.22635","1.9769","354","66579","thing","Takenoko","2","4","45","45","45","2011","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Terraforming Mars","167791","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490472","8.23106","8.37605","3.2588","6","125751","thing","Terraforming Mars","1","5","120","120","120","2016","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Tinderblox","295192","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490484","5.83667","6.74976","1","3827","2473","thing","Tinderblox","2","6","15","15","3","2020","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tiny Epic Pirates","309430","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490515","6.20876","7.06736","2.8406","1900","6876","thing","Tiny Epic Pirates","1","4","60","60","30","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tokaido Collector's Edition","155731","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490355","6.3557","7.66799","1.9714","0","3418","thing","Tokaido Collector's Edition","2","5","45","45","45","2015","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Townsfolk Tussle","312859","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490534","6.17305","7.70079","2.5862","2030","2145","thing","Townsfolk Tussle","2","5","200","200","40","2022","2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Treasure Island","242639","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490465","6.77908","7.24381","2.2453","694","10303","thing","Treasure Island","2","5","45","45","45","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Twilight Struggle","12333","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490345","8.08018","8.25317","3.6029","14","65349","thing","Twilight Struggle","2","2","180","180","120","2005","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Hell's Kitchen","326934","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490558","6.15795","8.30642","2.2","2088","2747","thing","Unmatched: Hell's Kitchen","2","3","40","40","20","2022","2,3","3","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex","284778","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490554","6.2233","8.06685","2","1857","3634","thing","Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex","2","2","40","40","20","2022","2","2","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Veiled Fate","315695","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490633","6.15671","7.74362","2.0286","2095","1989","thing","Veiled Fate","2","8","90","90","60","2022","3,4,5,6,7,8","4,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Village Pillage","247342","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490396","6.01139","7.39977","1.375","2698","1906","thing","Village Pillage","2","5","20","20","20","2019","2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"A War of Whispers","253499","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490525","6.67517","7.35921","2.5248","864","5810","thing","A War of Whispers","2","4","60","60","30","2019","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490567","7.00763","7.30895","1.1163","438","18625","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Witcher: Old World","331106","0","","0","1","0","0","0","0","0","0","0","3","","","","","","108490531","6.61919","8.26015","2.8808","972","5131","thing","The Witcher: Old World","1","5","150","150","90","2023","1,2,3","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
